Timespace,AQI,hour,day,month
2025-06-29 11:43:16,58,11,Sunday,6
2025-06-29 11:58:16,58,11,Sunday,6
2025-06-29 12:13:16,56,12,Sunday,6
2025-06-29 12:28:16,56,12,Sunday,6
2025-06-29 12:43:18,56,12,Sunday,6
2025-06-29 12:58:17,56,12,Sunday,6
2025-06-29 13:13:17,59,13,Sunday,6
2025-06-29 13:28:16,58,13,Sunday,6
2025-06-29 13:43:16,58,13,Sunday,6
2025-06-29 13:58:16,58,13,Sunday,6
2025-06-29 14:13:16,57,14,Sunday,6
2025-06-29 14:28:17,58,14,Sunday,6
2025-06-29 14:43:16,58,14,Sunday,6
2025-06-29 14:58:16,58,14,Sunday,6
2025-06-29 15:13:16,55,15,Sunday,6
2025-06-29 15:28:16,55,15,Sunday,6
2025-06-29 15:43:16,55,15,Sunday,6
2025-06-29 15:58:16,55,15,Sunday,6
2025-06-29 16:13:16,52,16,Sunday,6
2025-06-29 16:28:16,55,16,Sunday,6
2025-06-29 16:43:16,55,16,Sunday,6
2025-06-29 16:58:17,55,16,Sunday,6
2025-06-29 17:13:16,53,17,Sunday,6
2025-06-29 17:28:16,55,17,Sunday,6
2025-06-29 17:43:17,55,17,Sunday,6
2025-06-29 17:58:16,55,17,Sunday,6
2025-06-29 18:13:16,55,18,Sunday,6
2025-06-29 18:28:16,53,18,Sunday,6
2025-06-29 18:43:17,53,18,Sunday,6
2025-06-29 18:58:17,53,18,Sunday,6
2025-06-29 19:13:17,52,19,Sunday,6
2025-06-29 19:28:16,53,19,Sunday,6
2025-06-29 19:43:17,53,19,Sunday,6
2025-06-29 19:58:16,53,19,Sunday,6
2025-06-29 20:13:16,56,20,Sunday,6
2025-06-29 20:28:16,55,20,Sunday,6
2025-06-29 20:43:16,55,20,Sunday,6
2025-06-29 20:58:17,55,20,Sunday,6
2025-06-29 21:13:16,66,21,Sunday,6
2025-06-29 21:28:16,66,21,Sunday,6
2025-06-29 21:43:16,66,21,Sunday,6
2025-06-29 21:58:16,66,21,Sunday,6
2025-06-29 22:13:16,91,22,Sunday,6
2025-06-29 22:28:17,79,22,Sunday,6
2025-06-29 22:43:17,79,22,Sunday,6
2025-06-29 22:58:16,79,22,Sunday,6
2025-06-29 23:13:16,89,23,Sunday,6
2025-06-29 23:28:16,88,23,Sunday,6
2025-06-29 23:43:16,88,23,Sunday,6
2025-06-29 23:58:16,88,23,Sunday,6
2025-06-30 00:13:16,102,0,Monday,6
2025-06-30 00:28:40,102,0,Monday,6
2025-06-30 00:43:17,102,0,Monday,6
2025-06-30 00:58:16,102,0,Monday,6
2025-06-30 01:13:16,126,1,Monday,6
2025-06-30 01:28:16,115,1,Monday,6
2025-06-30 01:43:17,115,1,Monday,6
2025-06-30 01:58:16,115,1,Monday,6
2025-06-30 02:13:16,123,2,Monday,6
2025-06-30 02:28:16,129,2,Monday,6
2025-06-30 02:43:16,129,2,Monday,6
2025-06-30 02:58:16,129,2,Monday,6
2025-06-30 03:13:19,113,3,Monday,6
2025-06-30 03:28:16,119,3,Monday,6
2025-06-30 03:43:23,119,3,Monday,6
2025-06-30 03:58:16,119,3,Monday,6
2025-06-30 04:13:17,105,4,Monday,6
2025-06-30 04:28:19,102,4,Monday,6
2025-06-30 04:43:17,102,4,Monday,6
2025-06-30 04:58:17,102,4,Monday,6
2025-06-30 05:13:16,99,5,Monday,6
2025-06-30 05:28:16,99,5,Monday,6
2025-06-30 05:43:16,99,5,Monday,6
2025-06-30 05:58:16,99,5,Monday,6
2025-06-30 06:13:16,92,6,Monday,6
2025-06-30 06:28:16,94,6,Monday,6
2025-06-30 06:43:16,94,6,Monday,6
2025-06-30 06:58:16,94,6,Monday,6
2025-06-30 07:13:16,94,7,Monday,6
2025-06-30 07:28:17,94,7,Monday,6
2025-06-30 07:43:16,94,7,Monday,6
2025-06-30 07:58:17,94,7,Monday,6
2025-06-30 08:13:16,96,8,Monday,6
2025-06-30 08:28:17,96,8,Monday,6
2025-06-30 08:43:16,96,8,Monday,6
2025-06-30 08:58:16,96,8,Monday,6
2025-06-30 09:13:16,102,9,Monday,6
2025-06-30 09:28:16,98,9,Monday,6
2025-06-30 09:43:17,98,9,Monday,6
2025-06-30 09:58:16,98,9,Monday,6
2025-06-30 10:13:16,102,10,Monday,6
2025-06-30 10:28:17,110,10,Monday,6
2025-06-30 10:43:16,110,10,Monday,6
2025-06-30 10:58:16,110,10,Monday,6
2025-06-30 11:13:16,101,11,Monday,6
2025-06-30 11:28:17,107,11,Monday,6
2025-06-30 11:43:16,107,11,Monday,6
2025-06-30 11:58:17,107,11,Monday,6
2025-06-30 12:13:17,96,12,Monday,6
2025-06-30 12:28:16,96,12,Monday,6
2025-06-30 12:43:17,96,12,Monday,6
2025-06-30 12:58:16,96,12,Monday,6
2025-06-30 13:13:17,91,13,Monday,6
2025-06-30 13:28:16,94,13,Monday,6
2025-06-30 13:43:16,94,13,Monday,6
2025-06-30 13:58:17,94,13,Monday,6
2025-06-30 14:13:16,89,14,Monday,6
2025-06-30 14:28:17,88,14,Monday,6
2025-06-30 14:43:16,88,14,Monday,6
2025-06-30 14:58:17,88,14,Monday,6
2025-06-30 15:13:16,92,15,Monday,6
2025-06-30 15:28:16,88,15,Monday,6
2025-06-30 15:43:18,88,15,Monday,6
2025-06-30 15:58:26,88,15,Monday,6
2025-06-30 16:13:17,88,16,Monday,6
2025-06-30 16:28:16,88,16,Monday,6
2025-06-30 16:43:19,88,16,Monday,6
2025-06-30 16:58:17,88,16,Monday,6
2025-06-30 17:13:17,92,17,Monday,6
2025-06-30 17:28:17,88,17,Monday,6
2025-06-30 17:43:17,88,17,Monday,6
2025-06-30 17:58:16,88,17,Monday,6
2025-06-30 18:13:17,92,18,Monday,6
2025-06-30 18:28:19,90,18,Monday,6
2025-06-30 18:43:20,90,18,Monday,6
2025-06-30 18:58:17,90,18,Monday,6
2025-06-30 19:13:18,92,19,Monday,6
2025-06-30 19:28:17,89,19,Monday,6
2025-06-30 19:43:16,89,19,Monday,6
2025-06-30 19:58:16,89,19,Monday,6
2025-06-30 20:13:16,92,20,Monday,6
2025-06-30 20:28:16,91,20,Monday,6
2025-06-30 20:43:17,91,20,Monday,6
2025-06-30 20:58:17,91,20,Monday,6
2025-06-30 21:13:20,91,21,Monday,6
2025-06-30 21:28:17,91,21,Monday,6
2025-06-30 21:43:16,91,21,Monday,6
2025-06-30 21:58:16,91,21,Monday,6
2025-06-30 22:13:16,92,22,Monday,6
2025-06-30 22:28:18,89,22,Monday,6
2025-06-30 22:43:17,89,22,Monday,6
2025-06-30 22:58:17,89,22,Monday,6
2025-06-30 23:13:17,88,23,Monday,6
2025-06-30 23:28:17,88,23,Monday,6
2025-06-30 23:43:18,88,23,Monday,6
2025-06-30 23:58:16,88,23,Monday,6
2025-07-01 00:13:17,84,0,Tuesday,7
2025-07-01 00:28:18,84,0,Tuesday,7
2025-07-01 00:43:17,84,0,Tuesday,7
2025-07-01 00:58:17,84,0,Tuesday,7
2025-07-01 01:13:16,88,1,Tuesday,7
2025-07-01 01:28:16,90,1,Tuesday,7
2025-07-01 01:43:17,90,1,Tuesday,7
2025-07-01 01:58:17,90,1,Tuesday,7
2025-07-01 02:13:19,75,2,Tuesday,7
2025-07-01 02:28:16,88,2,Tuesday,7
2025-07-01 02:43:17,88,2,Tuesday,7
2025-07-01 02:58:20,88,2,Tuesday,7
2025-07-01 03:13:17,86,3,Tuesday,7
2025-07-01 03:28:17,86,3,Tuesday,7
2025-07-01 03:43:17,86,3,Tuesday,7
2025-07-01 03:58:17,86,3,Tuesday,7
2025-07-01 04:13:16,79,4,Tuesday,7
2025-07-01 04:28:17,84,4,Tuesday,7
2025-07-01 04:43:28,84,4,Tuesday,7
2025-07-01 04:58:16,84,4,Tuesday,7
2025-07-01 05:13:18,83,5,Tuesday,7
2025-07-01 05:28:17,84,5,Tuesday,7
2025-07-01 05:43:18,84,5,Tuesday,7
2025-07-01 05:58:16,84,5,Tuesday,7
2025-07-01 06:13:17,89,6,Tuesday,7
2025-07-01 06:28:18,88,6,Tuesday,7
2025-07-01 06:43:17,88,6,Tuesday,7
2025-07-01 06:58:17,88,6,Tuesday,7
2025-07-01 07:13:16,83,7,Tuesday,7
2025-07-01 07:28:18,90,7,Tuesday,7
2025-07-01 07:43:16,90,7,Tuesday,7
2025-07-01 07:58:17,90,7,Tuesday,7
2025-07-01 08:13:17,95,8,Tuesday,7
2025-07-01 08:28:17,94,8,Tuesday,7
2025-07-01 08:43:16,94,8,Tuesday,7
2025-07-01 08:58:16,94,8,Tuesday,7
2025-07-01 09:13:16,110,9,Tuesday,7
2025-07-01 09:28:16,96,9,Tuesday,7
2025-07-01 09:43:17,96,9,Tuesday,7
2025-07-01 09:58:17,96,9,Tuesday,7
2025-07-01 10:13:16,96,10,Tuesday,7
2025-07-01 10:28:16,97,10,Tuesday,7
2025-07-01 10:43:17,97,10,Tuesday,7
2025-07-01 10:58:17,97,10,Tuesday,7
2025-07-01 11:13:16,94,11,Tuesday,7
2025-07-01 11:28:20,94,11,Tuesday,7
2025-07-01 11:43:16,94,11,Tuesday,7
2025-07-01 11:58:16,94,11,Tuesday,7
2025-07-01 12:13:16,96,12,Tuesday,7
2025-07-01 12:28:17,90,12,Tuesday,7
2025-07-01 12:43:18,90,12,Tuesday,7
2025-07-01 12:58:20,90,12,Tuesday,7
2025-07-01 13:13:17,90,13,Tuesday,7
2025-07-01 13:28:18,90,13,Tuesday,7
2025-07-01 13:43:17,90,13,Tuesday,7
2025-07-01 13:58:21,90,13,Tuesday,7
2025-07-01 14:13:20,94,14,Tuesday,7
2025-07-01 14:28:21,94,14,Tuesday,7
2025-07-01 14:43:17,94,14,Tuesday,7
2025-07-01 14:58:18,94,14,Tuesday,7
2025-07-01 15:13:19,94,15,Tuesday,7
2025-07-01 15:28:17,90,15,Tuesday,7
2025-07-01 15:43:16,90,15,Tuesday,7
2025-07-01 15:58:17,90,15,Tuesday,7
2025-07-01 16:13:17,99,16,Tuesday,7
2025-07-01 16:28:26,96,16,Tuesday,7
2025-07-01 16:43:17,96,16,Tuesday,7
2025-07-01 16:58:18,96,16,Tuesday,7
2025-07-01 17:13:17,99,17,Tuesday,7
2025-07-01 17:28:18,97,17,Tuesday,7
2025-07-01 17:43:16,97,17,Tuesday,7
2025-07-01 17:58:16,97,17,Tuesday,7
2025-07-01 18:13:19,107,18,Tuesday,7
2025-07-01 18:28:16,106,18,Tuesday,7
2025-07-01 18:43:24,106,18,Tuesday,7
2025-07-01 18:58:18,106,18,Tuesday,7
2025-07-01 19:13:17,99,19,Tuesday,7
2025-07-01 19:28:16,112,19,Tuesday,7
2025-07-01 19:43:18,112,19,Tuesday,7
